work_order_id,equipment_id,date,type,description,technician,fault_code,parts_used,downtime_min,outcome
WO-2026-0540,HSM-F2-WRB,2026-06-02,corrective,Auto-alert on sudden bearing vibration step; lubrication check.,U-ENG-01,F2-WRB-001,GREASE-EP2-DRUM,45,root cause: missed lubrication cycle week of 2026-04-20
WO-GEN-0008,HSM-F2-WRB,2026-06-06,lubrication,Scheduled work-roll bearing lubrication.,U-ENG-01,,GREASE-EP2-DRUM,0,completed
WO-2024-0902,HSM-F3-GBX,2024-09-18,corrective,Stage-2 gear-tooth fracture; emergency gear set replacement.,U-ENG-01,F3-GBX-002,GBX-GEAR-SET-01,540,replaced; see FR-2024-002
WO-GEN-0018,HSM-F3-GBX,2025-08-05,inspection,Routine inspection on F3 main drive gearbox (herringbone / planetary).,U-ENG-02,,,0,normal
WO-GEN-0021,HSM-F3-GBX,2025-08-25,inspection,Routine inspection on F3 main drive gearbox (herringbone / planetary).,U-SUP-01,,,0,normal
WO-GEN-0023,HSM-F3-GBX,2025-11-13,preventive,Routine preventive on F3 main drive gearbox (herringbone / planetary).,U-ENG-02,,,0,normal
WO-GEN-0017,HSM-F3-GBX,2025-11-24,preventive,Routine preventive on F3 main drive gearbox (herringbone / planetary).,U-ENG-01,,,0,normal
WO-GEN-0019,HSM-F3-GBX,2025-11-28,oil_sample,Routine oil sample on F3 main drive gearbox (herringbone / planetary).,U-ENG-02,,,0,normal
WO-2025-1180,HSM-F3-GBX,2025-12-15,oil_sample,"Routine gearbox oil sample; Fe = 16 ppm, within limits.",U-ENG-01,,,0,normal
WO-GEN-0024,HSM-F3-GBX,2025-12-15,inspection,Routine inspection on F3 main drive gearbox (herringbone / planetary).,U-ENG-01,,,0,normal
WO-GEN-0022,HSM-F3-GBX,2026-01-01,oil_sample,Routine oil sample on F3 main drive gearbox (herringbone / planetary).,U-SUP-02,,,0,normal
WO-2026-0142,HSM-F3-GBX,2026-02-10,inspection,"Routine vibration check; overall RMS 1.3 mm/s, normal.",U-ENG-01,,,0,normal
WO-GEN-0020,HSM-F3-GBX,2026-03-16,preventive,Routine preventive on F3 main drive gearbox (herringbone / planetary).,U-SUP-02,,,0,normal
WO-2026-0511,HSM-F3-GBX,2026-05-22,alert,Vibration sidebands and oil Fe trending up; flagged Stage-2 pitting.,U-AN-01,F3-GBX-002,,0,spare query raised for GBX-GEAR-SET-01
WO-GEN-0065,HSM-F4-F7-BRG,2025-11-10,oil_sample,Routine oil sample on F4-F7 finishing stand bearings (group).,U-ENG-02,,,0,normal
WO-GEN-0066,HSM-F4-F7-BRG,2025-11-27,preventive,Routine preventive on F4-F7 finishing stand bearings (group).,U-SUP-01,,,0,normal
WO-GEN-0063,HSM-F4-F7-BRG,2025-12-08,preventive,Routine preventive on F4-F7 finishing stand bearings (group).,U-SUP-01,,,0,normal
WO-GEN-0064,HSM-F4-F7-BRG,2026-02-12,inspection,Routine inspection on F4-F7 finishing stand bearings (group).,U-SUP-02,,,0,normal
WO-GEN-0068,HSM-F4-F7-BRG,2026-02-23,oil_sample,Routine oil sample on F4-F7 finishing stand bearings (group).,U-ENG-01,,,0,normal
WO-GEN-0067,HSM-F4-F7-BRG,2026-05-05,inspection,Routine inspection on F4-F7 finishing stand bearings (group).,U-ENG-01,,,0,normal
WO-GEN-0071,HSM-LUB-UNIT,2025-07-31,oil_sample,Routine oil sample on Mill central lubrication unit.,U-SUP-01,,,0,normal
WO-GEN-0070,HSM-LUB-UNIT,2025-10-07,inspection,Routine inspection on Mill central lubrication unit.,U-ENG-02,,,0,normal
WO-GEN-0073,HSM-LUB-UNIT,2025-11-03,inspection,Routine inspection on Mill central lubrication unit.,U-SUP-01,,,0,normal
WO-GEN-0074,HSM-LUB-UNIT,2025-11-06,oil_sample,Routine oil sample on Mill central lubrication unit.,U-SUP-01,,,0,normal
WO-GEN-0069,HSM-LUB-UNIT,2025-12-19,preventive,Routine preventive on Mill central lubrication unit.,U-SUP-01,,,0,normal
WO-GEN-0072,HSM-LUB-UNIT,2026-04-21,preventive,Routine preventive on Mill central lubrication unit.,U-SUP-02,,,0,normal
WO-GEN-0039,HSM-RM-MOT,2025-07-08,preventive,Routine preventive on Roughing-mill main drive motor.,U-SUP-01,,,0,normal
WO-GEN-0042,HSM-RM-MOT,2025-07-14,preventive,Routine preventive on Roughing-mill main drive motor.,U-ENG-02,,,0,normal
WO-GEN-0044,HSM-RM-MOT,2025-08-20,oil_sample,Routine oil sample on Roughing-mill main drive motor.,U-ENG-01,,,0,normal
WO-GEN-0041,HSM-RM-MOT,2025-12-29,oil_sample,Routine oil sample on Roughing-mill main drive motor.,U-ENG-02,,,0,normal
WO-GEN-0040,HSM-RM-MOT,2026-01-13,inspection,Routine inspection on Roughing-mill main drive motor.,U-SUP-02,,,0,normal
WO-GEN-0043,HSM-RM-MOT,2026-04-22,inspection,Routine inspection on Roughing-mill main drive motor.,U-ENG-02,,,0,normal
WO-GEN-0049,HSM-ROT-PMP,2025-07-02,inspection,Routine inspection on Run-out-table cooling pump group.,U-ENG-02,,,0,normal
WO-GEN-0046,HSM-ROT-PMP,2025-09-26,inspection,Routine inspection on Run-out-table cooling pump group.,U-ENG-02,,,0,normal
WO-GEN-0048,HSM-ROT-PMP,2025-11-07,preventive,Routine preventive on Run-out-table cooling pump group.,U-SUP-01,,,0,normal
WO-GEN-0045,HSM-ROT-PMP,2025-12-11,preventive,Routine preventive on Run-out-table cooling pump group.,U-ENG-01,,,0,normal
WO-GEN-0047,HSM-ROT-PMP,2026-01-25,oil_sample,Routine oil sample on Run-out-table cooling pump group.,U-ENG-01,,,0,normal
WO-GEN-0050,HSM-ROT-PMP,2026-03-24,oil_sample,Routine oil sample on Run-out-table cooling pump group.,U-SUP-02,,,0,normal
