coil_id,source,produced_at,assigned_asset_id,grade,thickness_mm,width_mm,alpha_label,alpha_risk_score
1555,train,2026-03-10T12:55:33,HSM-DC-MND,HRC-IS2062-E250,11.79,1020.7,0,
301,train,2026-03-10T14:12:12,HSM-DC-MND,SAE-1018,8.92,1271.0,0,
552,train,2026-03-10T15:28:50,HSM-DC-MND,HRC-IS2062-E250,3.21,1094.8,0,
119,train,2026-03-10T16:45:29,HSM-DC-MND,API-5L-X52,6.97,1031.3,0,
469,train,2026-03-10T18:02:07,HSM-DC-MND,HRC-IS2062-E350,9.22,1222.8,0,
1672,train,2026-03-10T19:18:46,HSM-DC-MND,SAE-1018,6.84,1284.4,0,
85,train,2026-03-10T20:35:24,HSM-DC-MND,HRC-IS2062-E250,6.99,1046.3,0,
393,train,2026-03-10T21:52:03,HSM-DC-MND,HRC-IS2062-E350,4.01,1031.3,0,
441,train,2026-03-10T23:08:41,HSM-DC-MND,SAE-1018,6.15,1106.2,0,
1235,train,2026-03-11T00:25:20,HSM-DC-MND,HRC-IS2062-E350,2.9,1433.7,0,
1462,train,2026-03-11T01:41:58,HSM-DC-MND,SAE-1006,8.01,1432.0,0,
1169,train,2026-03-11T02:58:36,HSM-DC-MND,SAE-1006,6.39,1483.7,0,
790,train,2026-03-11T04:15:15,HSM-DC-MND,HRC-IS2062-E250,10.83,1103.7,0,
1572,train,2026-03-11T05:31:53,HSM-DC-MND,HRC-IS2062-E350,8.83,1155.9,0,
1089,train,2026-03-11T06:48:32,HSM-DC-MND,SAE-1006,9.38,1206.3,0,
1451,train,2026-03-11T08:05:10,HSM-DC-MND,API-5L-X52,5.59,1490.9,0,
466,train,2026-03-11T09:21:49,HSM-DC-MND,HRC-IS2062-E350,6.38,1045.3,0,
402,train,2026-03-11T10:38:27,HSM-DC-MND,HRC-IS2062-E250,11.33,1296.8,0,
947,train,2026-03-11T11:55:06,HSM-DC-MND,SAE-1006,9.89,1463.2,0,
30,train,2026-03-11T13:11:44,HSM-DC-MND,API-5L-X52,2.63,1304.3,0,
6,train,2026-03-11T14:28:23,HSM-DC-MND,SAE-1018,9.87,1302.9,0,
1475,train,2026-03-11T15:45:01,HSM-DC-MND,SAE-1018,8.65,1168.3,0,
673,train,2026-03-11T17:01:40,HSM-DC-MND,SAE-1006,11.11,1153.7,0,
1402,train,2026-03-11T18:18:18,HSM-DC-MND,SAE-1018,4.75,1171.5,0,
788,train,2026-03-11T19:34:56,HSM-DC-MND,SAE-1006,9.73,1454.3,0,
677,train,2026-03-11T20:51:35,HSM-DC-MND,HRC-IS2062-E350,11.94,992.8,0,
12,train,2026-03-11T22:08:13,HSM-DC-MND,HRC-IS2062-E350,9.85,1184.2,0,
45,train,2026-03-11T23:24:52,HSM-DC-MND,HRC-IS2062-E350,8.28,1170.2,0,
1163,train,2026-03-12T00:41:30,HSM-DC-MND,API-5L-X52,11.95,1127.5,0,
198,train,2026-03-12T01:58:09,HSM-DC-MND,SAE-1006,10.86,1105.4,0,
973,train,2026-03-12T03:14:47,HSM-DC-MND,HRC-IS2062-E250,11.98,1481.7,0,
1581,train,2026-03-12T04:31:26,HSM-DC-MND,SAE-1018,8.22,1507.9,0,
587,train,2026-03-12T05:48:04,HSM-DC-MND,HRC-IS2062-E350,1.88,1268.6,0,
1144,train,2026-03-12T07:04:43,HSM-DC-MND,HRC-IS2062-E350,2.7,1229.7,0,
791,train,2026-03-12T08:21:21,HSM-DC-MND,SAE-1018,7.02,1494.1,0,
779,train,2026-03-12T09:38:00,HSM-DC-MND,SAE-1006,2.71,912.9,0,
33,train,2026-03-12T10:54:38,HSM-DC-MND,SAE-1018,6.53,1224.6,0,
1198,train,2026-03-12T12:11:16,HSM-DC-MND,API-5L-X52,9.53,1054.8,0,
57,train,2026-03-12T13:27:55,HSM-DC-MND,HRC-IS2062-E250,9.74,1029.6,0,
306,train,2026-03-12T14:44:33,HSM-DC-MND,API-5L-X52,3.07,1320.5,0,
75,train,2026-03-12T16:01:12,HSM-DC-MND,SAE-1018,6.62,1011.3,1,
847,train,2026-03-12T17:17:50,HSM-DC-MND,SAE-1018,8.13,1309.8,0,
360,train,2026-03-12T18:34:29,HSM-DC-MND,HRC-IS2062-E350,8.93,1417.6,1,
205,train,2026-03-12T19:51:07,HSM-DC-MND,API-5L-X52,11.86,1491.9,0,
120,train,2026-03-12T21:07:46,HSM-DC-MND,SAE-1018,11.41,1276.5,0,
19,train,2026-03-12T22:24:24,HSM-DC-MND,SAE-1006,11.78,1037.3,0,
669,train,2026-03-12T23:41:03,HSM-DC-MND,API-5L-X52,3.47,1319.6,0,
432,train,2026-03-13T00:57:41,HSM-DC-MND,HRC-IS2062-E350,8.52,1459.9,0,
414,train,2026-03-13T02:14:20,HSM-DC-MND,SAE-1018,8.16,1222.8,0,
991,train,2026-03-13T03:30:58,HSM-DC-MND,SAE-1018,6.04,1197.4,0,
1368,train,2026-03-13T04:47:37,HSM-DC-MND,HRC-IS2062-E250,1.96,1420.2,0,
1652,train,2026-03-13T06:04:15,HSM-DC-MND,HRC-IS2062-E250,9.64,1331.4,0,
185,train,2026-03-13T07:20:53,HSM-DC-MND,API-5L-X52,7.85,1092.5,0,
553,train,2026-03-13T08:37:32,HSM-DC-MND,HRC-IS2062-E350,3.15,1305.3,0,
1369,train,2026-03-13T09:54:10,HSM-DC-MND,SAE-1018,4.38,1200.0,0,
1385,train,2026-03-13T11:10:49,HSM-DC-MND,SAE-1018,9.29,1095.0,0,
595,train,2026-03-13T12:27:27,HSM-DC-MND,HRC-IS2062-E350,11.44,1046.5,0,
1325,train,2026-03-13T13:44:06,HSM-DC-MND,SAE-1006,2.48,1423.2,0,
1015,train,2026-03-13T15:00:44,HSM-DC-MND,HRC-IS2062-E250,3.15,923.1,1,
1479,train,2026-03-13T16:17:23,HSM-DC-MND,SAE-1018,6.73,1457.2,0,
1521,train,2026-03-13T17:34:01,HSM-DC-MND,API-5L-X52,6.7,1300.0,0,
703,train,2026-03-13T18:50:40,HSM-DC-MND,API-5L-X52,5.98,1054.3,0,
850,train,2026-03-13T20:07:18,HSM-DC-MND,API-5L-X52,5.57,1313.4,0,
48,train,2026-03-13T21:23:57,HSM-DC-MND,SAE-1006,3.48,977.8,0,
1055,train,2026-03-13T22:40:35,HSM-DC-MND,API-5L-X52,11.81,1442.6,0,
1546,train,2026-03-13T23:57:13,HSM-DC-MND,HRC-IS2062-E350,6.83,901.1,0,
1262,train,2026-03-14T01:13:52,HSM-DC-MND,HRC-IS2062-E350,3.62,979.0,0,
1017,train,2026-03-14T02:30:30,HSM-DC-MND,HRC-IS2062-E250,2.51,1210.7,0,
869,train,2026-03-14T03:47:09,HSM-DC-MND,HRC-IS2062-E250,4.06,908.7,0,
253,train,2026-03-14T05:03:47,HSM-DC-MND,SAE-1018,6.45,1192.4,0,
1505,train,2026-03-14T06:20:26,HSM-DC-MND,SAE-1006,5.4,1432.3,0,
761,train,2026-03-14T07:37:04,HSM-DC-MND,SAE-1006,6.71,1513.9,0,
20,train,2026-03-14T08:53:43,HSM-DC-MND,HRC-IS2062-E250,11.85,994.6,0,
1354,train,2026-03-14T10:10:21,HSM-DC-MND,SAE-1018,10.8,1525.3,0,
194,train,2026-03-14T11:27:00,HSM-DC-MND,HRC-IS2062-E250,7.92,1334.7,0,
426,train,2026-03-14T12:43:38,HSM-DC-MND,SAE-1018,7.62,1430.7,0,
1424,train,2026-03-14T14:00:17,HSM-DC-MND,SAE-1006,5.22,1528.5,0,
1195,train,2026-03-14T15:16:55,HSM-DC-MND,API-5L-X52,3.34,1260.1,0,
322,train,2026-03-14T16:33:33,HSM-DC-MND,SAE-1018,8.25,1111.2,0,
875,train,2026-03-14T17:50:12,HSM-DC-MND,HRC-IS2062-E250,7.08,1161.3,0,
888,train,2026-03-14T19:06:50,HSM-DC-MND,SAE-1006,9.68,992.9,0,
891,train,2026-03-14T20:23:29,HSM-DC-MND,SAE-1006,4.47,1097.0,0,
789,train,2026-03-14T21:40:07,HSM-DC-MND,API-5L-X52,8.23,1081.8,0,
31,train,2026-03-14T22:56:46,HSM-DC-MND,SAE-1006,11.12,1365.0,0,
49,train,2026-03-15T00:13:24,HSM-DC-MND,SAE-1006,4.41,1531.0,0,
1628,train,2026-03-15T01:30:03,HSM-DC-MND,HRC-IS2062-E350,8.45,951.3,0,
825,train,2026-03-15T02:46:41,HSM-DC-MND,HRC-IS2062-E350,6.65,934.1,0,
1604,train,2026-03-15T04:03:20,HSM-DC-MND,HRC-IS2062-E250,7.72,990.5,0,
383,train,2026-03-15T05:19:58,HSM-DC-MND,SAE-1006,1.98,1036.9,0,
977,train,2026-03-15T06:36:37,HSM-DC-MND,SAE-1006,9.81,1112.0,0,
353,train,2026-03-15T07:53:15,HSM-DC-MND,HRC-IS2062-E350,2.07,1248.3,0,
812,train,2026-03-15T09:09:53,HSM-DC-MND,HRC-IS2062-E250,6.7,1443.4,0,
768,train,2026-03-15T10:26:32,HSM-DC-MND,HRC-IS2062-E250,4.67,1471.3,0,
1011,train,2026-03-15T11:43:10,HSM-DC-MND,API-5L-X52,8.74,1232.7,0,
514,train,2026-03-15T12:59:49,HSM-DC-MND,HRC-IS2062-E350,6.78,1087.3,0,
1530,train,2026-03-15T14:16:27,HSM-DC-MND,SAE-1018,3.52,1172.7,0,
731,train,2026-03-15T15:33:06,HSM-DC-MND,SAE-1006,7.05,1219.5,0,
1182,train,2026-03-15T16:49:44,HSM-DC-MND,SAE-1006,8.99,1247.7,1,
1208,train,2026-03-15T18:06:23,HSM-DC-MND,HRC-IS2062-E250,2.57,1470.8,0,
1278,train,2026-03-15T19:23:01,HSM-DC-MND,HRC-IS2062-E350,3.39,1035.7,0,
233,train,2026-03-15T20:39:40,HSM-DC-MND,SAE-1018,7.68,1332.1,0,
949,train,2026-03-15T21:56:18,HSM-DC-MND,HRC-IS2062-E350,8.6,1412.4,0,
1655,train,2026-03-15T23:12:57,HSM-DC-MND,SAE-1018,8.09,1543.5,0,
24,train,2026-03-16T00:29:35,HSM-DC-MND,SAE-1018,9.15,1191.4,0,
652,train,2026-03-16T01:46:13,HSM-DC-MND,SAE-1018,2.41,1148.2,0,
468,train,2026-03-16T03:02:52,HSM-DC-MND,HRC-IS2062-E250,8.99,960.4,0,
1222,train,2026-03-16T04:19:30,HSM-DC-MND,HRC-IS2062-E250,11.19,1090.6,0,
1072,train,2026-03-16T05:36:09,HSM-DC-MND,HRC-IS2062-E250,2.6,1216.8,0,
1284,train,2026-03-16T06:52:47,HSM-DC-MND,SAE-1006,2.33,1055.7,0,
126,train,2026-03-16T08:09:26,HSM-DC-MND,HRC-IS2062-E250,10.48,1339.2,1,
281,train,2026-03-16T09:26:04,HSM-DC-MND,API-5L-X52,5.57,975.1,0,
1621,train,2026-03-16T10:42:43,HSM-DC-MND,SAE-1018,9.83,1379.2,0,
300,train,2026-03-16T11:59:21,HSM-DC-MND,SAE-1018,9.36,1241.1,0,
139,train,2026-03-16T13:16:00,HSM-DC-MND,SAE-1018,3.32,1389.4,0,
1584,train,2026-03-16T14:32:38,HSM-DC-MND,HRC-IS2062-E350,10.06,901.8,0,
577,train,2026-03-16T15:49:17,HSM-DC-MND,SAE-1006,11.18,1481.9,0,
905,train,2026-03-16T17:05:55,HSM-DC-MND,HRC-IS2062-E250,6.79,914.2,0,
1350,train,2026-03-16T18:22:33,HSM-DC-MND,API-5L-X52,5.89,1262.7,0,
1509,train,2026-03-16T19:39:12,HSM-DC-MND,SAE-1018,8.2,1162.7,0,
1633,train,2026-03-16T20:55:50,HSM-DC-MND,SAE-1006,5.21,1339.1,0,
998,train,2026-03-16T22:12:29,HSM-DC-MND,SAE-1018,10.92,1494.5,0,
1373,train,2026-03-16T23:29:07,HSM-DC-MND,SAE-1018,2.56,925.9,0,
1128,train,2026-03-17T00:45:46,HSM-DC-MND,HRC-IS2062-E250,2.27,1423.0,0,
911,train,2026-03-17T02:02:24,HSM-DC-MND,HRC-IS2062-E250,11.45,1475.4,0,
635,train,2026-03-17T03:19:03,HSM-DC-MND,SAE-1006,7.5,979.2,0,
828,train,2026-03-17T04:35:41,HSM-DC-MND,SAE-1018,9.62,974.6,0,
279,train,2026-03-17T05:52:20,HSM-DC-MND,API-5L-X52,9.13,1032.8,0,
89,train,2026-03-17T07:08:58,HSM-DC-MND,HRC-IS2062-E250,3.75,1443.2,0,
584,train,2026-03-17T08:25:37,HSM-DC-MND,SAE-1018,2.9,1325.8,0,
914,train,2026-03-17T09:42:15,HSM-DC-MND,API-5L-X52,8.56,1354.8,0,
1261,train,2026-03-17T10:58:54,HSM-DC-MND,HRC-IS2062-E250,10.24,1379.2,0,
123,train,2026-03-17T12:15:32,HSM-DC-MND,SAE-1006,3.85,1473.3,0,
1239,train,2026-03-17T13:32:10,HSM-DC-MND,SAE-1018,7.7,1359.3,0,
842,train,2026-03-17T14:48:49,HSM-DC-MND,SAE-1006,5.43,1400.0,0,
1596,train,2026-03-17T16:05:27,HSM-DC-MND,API-5L-X52,9.02,1125.9,0,
452,train,2026-03-17T17:22:06,HSM-DC-MND,SAE-1018,9.45,1086.6,0,
1292,train,2026-03-17T18:38:44,HSM-DC-MND,HRC-IS2062-E250,3.33,1504.2,0,
43,train,2026-03-17T19:55:23,HSM-DC-MND,HRC-IS2062-E250,5.01,907.6,0,
784,train,2026-03-17T21:12:01,HSM-DC-MND,API-5L-X52,4.13,1059.9,0,
1213,train,2026-03-17T22:28:40,HSM-DC-MND,HRC-IS2062-E250,10.09,1095.4,0,
66,train,2026-03-17T23:45:18,HSM-DC-MND,HRC-IS2062-E350,7.37,1441.9,0,
138,train,2026-03-18T01:01:57,HSM-DC-MND,SAE-1018,3.39,1286.0,0,
837,train,2026-03-18T02:18:35,HSM-DC-MND,SAE-1006,9.29,1184.9,1,
453,train,2026-03-18T03:35:14,HSM-DC-MND,HRC-IS2062-E250,8.36,1314.0,1,
157,train,2026-03-18T04:51:52,HSM-DC-MND,SAE-1018,9.72,1367.1,0,
686,train,2026-03-18T06:08:30,HSM-DC-MND,API-5L-X52,6.23,1293.3,1,
793,train,2026-03-18T07:25:09,HSM-DC-MND,SAE-1006,8.23,950.6,1,
1446,train,2026-03-18T08:41:47,HSM-DC-MND,SAE-1018,9.18,1366.2,0,
680,train,2026-03-18T09:58:26,HSM-DC-MND,API-5L-X52,4.56,1360.5,0,
97,train,2026-03-18T11:15:04,HSM-DC-MND,SAE-1006,10.02,1473.5,0,
424,train,2026-03-18T12:31:43,HSM-DC-MND,API-5L-X52,6.74,1283.0,0,
1122,train,2026-03-18T13:48:21,HSM-DC-MND,HRC-IS2062-E250,8.09,1169.9,0,
326,train,2026-03-18T15:05:00,HSM-DC-MND,SAE-1018,9.5,1239.9,0,
1389,train,2026-03-18T16:21:38,HSM-DC-MND,SAE-1006,11.19,1376.2,0,
1406,train,2026-03-18T17:38:17,HSM-DC-MND,SAE-1006,3.12,1346.1,0,
980,train,2026-03-18T18:54:55,HSM-DC-MND,SAE-1006,11.72,1365.9,0,
473,train,2026-03-18T20:11:34,HSM-DC-MND,API-5L-X52,9.05,1395.9,1,
1500,train,2026-03-18T21:28:12,HSM-DC-MND,HRC-IS2062-E250,2.44,1098.6,0,
1175,train,2026-03-18T22:44:50,HSM-DC-MND,SAE-1018,10.34,1258.3,0,
304,train,2026-03-19T00:01:29,HSM-DC-MND,API-5L-X52,8.44,1138.3,0,
254,train,2026-03-19T01:18:07,HSM-DC-MND,API-5L-X52,3.92,1252.3,0,
997,train,2026-03-19T02:34:46,HSM-DC-MND,HRC-IS2062-E250,9.96,908.5,0,
1677,train,2026-03-19T03:51:24,HSM-DC-MND,SAE-1006,5.3,1379.6,0,
180,train,2026-03-19T05:08:03,HSM-DC-MND,API-5L-X52,11.22,1464.5,0,
878,train,2026-03-19T06:24:41,HSM-DC-MND,HRC-IS2062-E250,10.64,976.3,0,
8,train,2026-03-19T07:41:20,HSM-DC-MND,SAE-1006,11.35,1311.5,0,
627,train,2026-03-19T08:57:58,HSM-DC-MND,SAE-1018,10.28,1256.9,0,
916,train,2026-03-19T10:14:37,HSM-DC-MND,SAE-1006,8.93,1031.7,0,
1042,train,2026-03-19T11:31:15,HSM-DC-MND,HRC-IS2062-E350,10.57,1466.5,0,
1456,train,2026-03-19T12:47:54,HSM-DC-MND,HRC-IS2062-E350,6.48,1091.2,0,
1077,train,2026-03-19T14:04:32,HSM-DC-MND,SAE-1018,11.58,1108.8,0,
1517,train,2026-03-19T15:21:10,HSM-DC-MND,SAE-1006,7.97,1234.1,0,
146,train,2026-03-19T16:37:49,HSM-DC-MND,HRC-IS2062-E250,7.19,1465.0,0,
1071,train,2026-03-19T17:54:27,HSM-DC-MND,SAE-1018,7.97,1353.9,0,
578,train,2026-03-19T19:11:06,HSM-DC-MND,HRC-IS2062-E250,10.08,1189.3,0,
734,train,2026-03-19T20:27:44,HSM-DC-MND,HRC-IS2062-E250,2.4,905.2,0,
852,train,2026-03-19T21:44:23,HSM-DC-MND,API-5L-X52,9.79,1147.4,0,
805,train,2026-03-19T23:01:01,HSM-DC-MND,SAE-1018,1.83,966.7,0,
681,train,2026-03-20T00:17:40,HSM-DC-MND,HRC-IS2062-E250,6.51,1053.5,0,
575,train,2026-03-20T01:34:18,HSM-DC-MND,SAE-1006,9.21,904.0,1,
1219,train,2026-03-20T02:50:57,HSM-DC-MND,SAE-1018,9.05,1059.2,0,
990,train,2026-03-20T04:07:35,HSM-DC-MND,SAE-1018,11.65,1086.6,0,
183,train,2026-03-20T05:24:14,HSM-DC-MND,HRC-IS2062-E350,4.03,1016.3,0,
173,train,2026-03-20T06:40:52,HSM-DC-MND,API-5L-X52,11.25,974.2,0,
722,train,2026-03-20T07:57:30,HSM-DC-MND,HRC-IS2062-E250,5.51,1216.8,1,
231,train,2026-03-20T09:14:09,HSM-DC-MND,HRC-IS2062-E250,3.67,920.6,0,
480,train,2026-03-20T10:30:47,HSM-DC-MND,API-5L-X52,4.38,1459.2,0,
800,train,2026-03-20T11:47:26,HSM-DC-MND,HRC-IS2062-E250,5.5,1034.8,0,
255,train,2026-03-20T13:04:04,HSM-DC-MND,HRC-IS2062-E350,2.85,982.6,0,
136,train,2026-03-20T14:20:43,HSM-DC-MND,HRC-IS2062-E350,6.51,908.9,0,
1585,train,2026-03-20T15:37:21,HSM-DC-MND,HRC-IS2062-E350,2.65,913.5,0,
1327,train,2026-03-20T16:54:00,HSM-DC-MND,SAE-1006,6.17,924.3,0,
293,train,2026-03-20T18:10:38,HSM-DC-MND,HRC-IS2062-E250,11.68,1285.6,0,
1383,train,2026-03-20T19:27:17,HSM-DC-MND,SAE-1006,3.91,1346.8,0,
588,train,2026-03-20T20:43:55,HSM-DC-MND,SAE-1018,11.3,1411.1,1,
754,train,2026-03-20T22:00:34,HSM-DC-MND,HRC-IS2062-E350,10.16,1187.0,0,
497,train,2026-03-20T23:17:12,HSM-DC-MND,HRC-IS2062-E350,9.6,968.1,0,
1130,train,2026-03-21T00:33:50,HSM-DC-MND,SAE-1006,9.4,1404.3,0,
1214,train,2026-03-21T01:50:29,HSM-DC-MND,SAE-1006,8.62,964.2,0,
1,train,2026-03-21T03:07:07,HSM-DC-MND,HRC-IS2062-E250,11.24,1548.6,0,
880,train,2026-03-21T04:23:46,HSM-DC-MND,SAE-1006,11.37,1318.8,0,
901,train,2026-03-21T05:40:24,HSM-DC-MND,SAE-1006,9.98,1273.3,0,
740,train,2026-03-21T06:57:03,HSM-DC-MND,HRC-IS2062-E350,9.31,904.7,0,
932,train,2026-03-21T08:13:41,HSM-DC-MND,HRC-IS2062-E350,10.37,1032.8,0,
1454,train,2026-03-21T09:30:20,HSM-DC-MND,SAE-1018,6.82,1521.7,0,
1496,train,2026-03-21T10:46:58,HSM-DC-MND,HRC-IS2062-E350,2.67,913.6,0,
1497,train,2026-03-21T12:03:37,HSM-DC-MND,HRC-IS2062-E250,10.63,1528.7,0,
820,train,2026-03-21T13:20:15,HSM-DC-MND,SAE-1006,11.34,1030.1,1,
1493,train,2026-03-21T14:36:54,HSM-DC-MND,SAE-1018,5.63,1107.0,0,
1096,train,2026-03-21T15:53:32,HSM-DC-MND,SAE-1018,2.73,1215.2,0,
1300,train,2026-03-21T17:10:10,HSM-DC-MND,API-5L-X52,6.09,1017.7,0,
1487,train,2026-03-21T18:26:49,HSM-DC-MND,SAE-1006,6.86,968.1,0,
454,train,2026-03-21T19:43:27,HSM-DC-MND,HRC-IS2062-E250,10.56,1322.9,0,
137,train,2026-03-21T21:00:06,HSM-DC-MND,HRC-IS2062-E250,8.88,1122.7,0,
592,train,2026-03-21T22:16:44,HSM-DC-MND,SAE-1018,7.87,1418.2,0,
195,train,2026-03-21T23:33:23,HSM-DC-MND,HRC-IS2062-E350,5.93,1053.0,0,
1553,train,2026-03-22T00:50:01,HSM-DC-MND,HRC-IS2062-E350,10.79,1487.7,0,
443,train,2026-03-22T02:06:40,HSM-DC-MND,HRC-IS2062-E350,11.32,1121.6,0,
103,train,2026-03-22T03:23:18,HSM-DC-MND,SAE-1018,7.44,1374.1,0,
1658,train,2026-03-22T04:39:57,HSM-DC-MND,SAE-1018,2.99,1164.5,0,
1635,train,2026-03-22T05:56:35,HSM-DC-MND,SAE-1018,4.05,1458.3,0,
604,train,2026-03-22T07:13:14,HSM-DC-MND,HRC-IS2062-E250,10.88,1285.2,0,
1436,train,2026-03-22T08:29:52,HSM-DC-MND,SAE-1018,10.67,1271.1,1,
1483,train,2026-03-22T09:46:31,HSM-DC-MND,HRC-IS2062-E250,5.8,1210.3,0,
1121,train,2026-03-22T11:03:09,HSM-DC-MND,SAE-1006,3.68,1134.2,0,
510,train,2026-03-22T12:19:47,HSM-DC-MND,SAE-1006,8.69,1325.5,0,
987,train,2026-03-22T13:36:26,HSM-DC-MND,SAE-1006,4.77,926.7,0,
1093,train,2026-03-22T14:53:04,HSM-DC-MND,SAE-1006,10.75,944.3,0,
726,train,2026-03-22T16:09:43,HSM-DC-MND,API-5L-X52,3.37,1027.8,0,
871,train,2026-03-22T17:26:21,HSM-DC-MND,HRC-IS2062-E350,7.19,1103.2,0,
1155,train,2026-03-22T18:43:00,HSM-DC-MND,SAE-1018,3.47,936.6,0,
1297,train,2026-03-22T19:59:38,HSM-DC-MND,SAE-1018,11.88,1368.6,0,
1185,train,2026-03-22T21:16:17,HSM-DC-MND,HRC-IS2062-E250,9.73,1378.3,0,
550,train,2026-03-22T22:32:55,HSM-DC-MND,API-5L-X52,7.63,1107.7,1,
644,train,2026-03-22T23:49:34,HSM-DC-MND,SAE-1018,5.08,1427.8,0,
1108,train,2026-03-23T01:06:12,HSM-DC-MND,SAE-1006,10.27,1270.8,0,
1678,train,2026-03-23T02:22:51,HSM-DC-MND,API-5L-X52,9.43,921.5,0,
83,train,2026-03-23T03:39:29,HSM-DC-MND,SAE-1018,4.66,1425.4,0,
1524,train,2026-03-23T04:56:07,HSM-DC-MND,HRC-IS2062-E350,10.03,1372.9,0,
530,train,2026-03-23T06:12:46,HSM-DC-MND,HRC-IS2062-E350,8.04,1131.1,1,
798,train,2026-03-23T07:29:24,HSM-DC-MND,HRC-IS2062-E350,5.92,1507.4,0,
450,train,2026-03-23T08:46:03,HSM-DC-MND,SAE-1018,8.59,1030.7,0,
413,train,2026-03-23T10:02:41,HSM-DC-MND,HRC-IS2062-E350,9.62,1291.5,0,
719,train,2026-03-23T11:19:20,HSM-DC-MND,SAE-1018,6.71,1496.2,0,
