delay_id,equipment_id,date,duration_min,category,description,shift
DL-2026-0631,HSM-F2-WRB,2026-06-01,10,mechanical,Minor F2 vibration alarm acknowledged.,C
DL-2026-0634,HSM-F2-WRB,2026-06-02,45,mechanical,F2 bearing step-change auto-alert; lubrication check.,C
DL-GEN-0012,HSM-F3-GBX,2025-11-20,64,hydraulic,Hydraulic delay on F3 main drive gearbox (herringbone / planetary).,C
DL-GEN-0013,HSM-F3-GBX,2025-12-02,8,inspection,Inspection delay on F3 main drive gearbox (herringbone / planetary).,A
DL-GEN-0016,HSM-F3-GBX,2025-12-19,64,electrical,Electrical delay on F3 main drive gearbox (herringbone / planetary).,B
DL-GEN-0017,HSM-F3-GBX,2026-02-04,62,mechanical,Mechanical delay on F3 main drive gearbox (herringbone / planetary).,B
DL-GEN-0014,HSM-F3-GBX,2026-02-08,78,mechanical,Mechanical delay on F3 main drive gearbox (herringbone / planetary).,C
DL-GEN-0019,HSM-F3-GBX,2026-02-24,68,electrical,Electrical delay on F3 main drive gearbox (herringbone / planetary).,B
DL-GEN-0011,HSM-F3-GBX,2026-03-02,75,hydraulic,Hydraulic delay on F3 main drive gearbox (herringbone / planetary).,C
DL-GEN-0018,HSM-F3-GBX,2026-05-05,56,hydraulic,Hydraulic delay on F3 main drive gearbox (herringbone / planetary).,A
DL-GEN-0015,HSM-F3-GBX,2026-05-08,13,mechanical,Mechanical delay on F3 main drive gearbox (herringbone / planetary).,B
DL-2026-0610,HSM-F3-GBX,2026-05-25,20,inspection,Operator-requested F3 vibration inspection.,A
DL-GEN-0020,HSM-F3-GBX,2026-05-26,52,electrical,Electrical delay on F3 main drive gearbox (herringbone / planetary).,B
DL-2026-0617,HSM-F3-GBX,2026-05-29,35,inspection,F3 gearbox oil sampling stop.,B
DL-2026-0625,HSM-F3-GBX,2026-06-03,15,inspection,F3 vibration re-check after trend alert.,A
DL-GEN-0063,HSM-F4-F7-BRG,2026-01-20,40,hydraulic,Hydraulic delay on F4-F7 finishing stand bearings (group).,B
DL-GEN-0066,HSM-F4-F7-BRG,2026-02-09,10,inspection,Inspection delay on F4-F7 finishing stand bearings (group).,B
DL-GEN-0061,HSM-F4-F7-BRG,2026-02-14,81,process,Process delay on F4-F7 finishing stand bearings (group).,B
DL-GEN-0064,HSM-F4-F7-BRG,2026-04-26,27,inspection,Inspection delay on F4-F7 finishing stand bearings (group).,B
DL-GEN-0065,HSM-F4-F7-BRG,2026-05-15,82,hydraulic,Hydraulic delay on F4-F7 finishing stand bearings (group).,C
DL-GEN-0062,HSM-F4-F7-BRG,2026-05-24,19,process,Process delay on F4-F7 finishing stand bearings (group).,C
DL-GEN-0067,HSM-LUB-UNIT,2025-12-29,47,hydraulic,Hydraulic delay on Mill central lubrication unit.,A
DL-GEN-0068,HSM-LUB-UNIT,2026-02-28,78,mechanical,Mechanical delay on Mill central lubrication unit.,A
DL-GEN-0070,HSM-LUB-UNIT,2026-03-21,88,electrical,Electrical delay on Mill central lubrication unit.,A
DL-GEN-0069,HSM-LUB-UNIT,2026-04-10,8,mechanical,Mechanical delay on Mill central lubrication unit.,C
DL-GEN-0072,HSM-LUB-UNIT,2026-05-03,81,mechanical,Mechanical delay on Mill central lubrication unit.,A
DL-GEN-0071,HSM-LUB-UNIT,2026-05-13,6,hydraulic,Hydraulic delay on Mill central lubrication unit.,B
DL-GEN-0042,HSM-RM-MOT,2025-12-12,24,inspection,Inspection delay on Roughing-mill main drive motor.,B
DL-GEN-0037,HSM-RM-MOT,2025-12-26,11,inspection,Inspection delay on Roughing-mill main drive motor.,C
DL-GEN-0041,HSM-RM-MOT,2026-01-08,89,electrical,Electrical delay on Roughing-mill main drive motor.,B
DL-GEN-0039,HSM-RM-MOT,2026-02-26,85,inspection,Inspection delay on Roughing-mill main drive motor.,C
DL-GEN-0040,HSM-RM-MOT,2026-03-13,19,process,Process delay on Roughing-mill main drive motor.,B
DL-GEN-0038,HSM-RM-MOT,2026-04-07,44,process,Process delay on Roughing-mill main drive motor.,B
DL-GEN-0045,HSM-ROT-PMP,2025-11-21,47,process,Process delay on Run-out-table cooling pump group.,A
DL-GEN-0043,HSM-ROT-PMP,2025-11-28,46,inspection,Inspection delay on Run-out-table cooling pump group.,B
DL-GEN-0044,HSM-ROT-PMP,2025-12-28,51,hydraulic,Hydraulic delay on Run-out-table cooling pump group.,C
DL-GEN-0048,HSM-ROT-PMP,2026-01-15,81,electrical,Electrical delay on Run-out-table cooling pump group.,C
DL-GEN-0047,HSM-ROT-PMP,2026-03-24,59,process,Process delay on Run-out-table cooling pump group.,B
DL-GEN-0046,HSM-ROT-PMP,2026-04-06,76,inspection,Inspection delay on Run-out-table cooling pump group.,A
