fault_code,equipment_id,title,meaning,likely_cause,recommended_action,related_sops,related_spares,severity
DSC-PMP-001,HSM-DSC-PMP,Low descaling pressure,Header pressure below descaling setpoint.,Plunger-seal wear or valve leakage.,Replace seal kit; inspect plunger.,SOP-BRG-001,DSC-PMP-SEAL-01;DSC-PMP-PLUNGER-01,medium
RM-MOT-001,HSM-RM-MOT,Stator winding over-temperature,Winding RTD temperature trending high.,Insulation degradation or cooling loss.,Reduce load; plan insulation test and rewind.,SOP-VIB-001,RM-MOT-WIND-01,high
RM-MOT-002,HSM-RM-MOT,Motor drive-end bearing vibration,Drive-end bearing vibration rising.,Bearing wear.,Trend and replace drive-end bearing.,SOP-BRG-001;SOP-VIB-001,RM-MOT-BRG-01,medium
ROT-PMP-001,HSM-ROT-PMP,Cooling pump cavitation,Pump cavitation signature with flow fluctuation.,Suction restriction or low NPSH.,Check suction strainer; inspect impeller.,SOP-VIB-001,ROT-PMP-IMP-01,medium
AGC-HYD-001,HSM-AGC-HYD,Servo-valve contamination causing gauge variation,Strip-gauge variation correlated with sluggish servo-valve response.,Hydraulic fluid contamination.,Flush system; replace servo valve if response is out of spec.,SOP-OIL-001,AGC-SERVO-VALVE-01,high
AGC-HYD-002,HSM-AGC-HYD,Low hydraulic pressure,AGC supply pressure below setpoint.,Pump wear or internal leakage.,Check pump and seals; replace seal kit.,SOP-OIL-001,AGC-SEAL-KIT-01,medium
F1-WRB-001,HSM-F1-WRB,F1 bearing vibration rising,F1 work-roll bearing vibration trending up.,"Lubrication or early spalling, as seen on the F-stand family.",Lubricate per SOP-LUB-001; trend and plan replacement.,SOP-LUB-001;SOP-BRG-001,BRG-F1-TRB-01,medium
LUB-UNIT-001,HSM-LUB-UNIT,Lubrication filter clogging / low downstream flow,Downstream lubrication flow falling with rising filter differential pressure.,Filter element clogged.,Replace filter element per SOP-LUB-001.,SOP-LUB-001,LUB-FILT-01,high
LUB-UNIT-002,HSM-LUB-UNIT,Lubrication reservoir low level,Grease/oil reservoir below minimum.,Consumption without refill or a leak.,Refill and inspect for leaks.,SOP-LUB-001,GREASE-EP2-DRUM,medium
F4F7-BRG-001,HSM-F4-F7-BRG,F4-F7 bearing vibration (group),One of the F4-F7 stand bearings shows rising vibration.,Lubrication or wear on a finishing-stand bearing.,Identify the stand; lubricate and trend.,SOP-LUB-001;SOP-VIB-001,BRG-F4F7-TRB-01,medium
DSC-PMP-002,HSM-DSC-PMP,Descaler pump vibration,Pump vibration rising.,Bearing or coupling wear.,Inspect coupling and bearings.,SOP-VIB-001,DSC-PMP-PLUNGER-01,low
ROT-PMP-002,HSM-ROT-PMP,Cooling pump seal leak,Visible leak at pump mechanical seal.,Seal wear.,Replace mechanical seal.,SOP-BRG-001,ROT-PMP-IMP-01,low
RM-MOT-003,HSM-RM-MOT,Motor overcurrent on start,Starting current above expected envelope.,Mechanical binding or supply imbalance.,Check driven load and supply; investigate before repeated starts.,SOP-VIB-001,RM-MOT-BRG-01,medium
AGC-HYD-003,HSM-AGC-HYD,Hydraulic oil contamination high,Particle count above ISO 4406 target.,Ingress or filter bypass.,Flush and replace filtration; sample per SOP-OIL-001.,SOP-OIL-001,AGC-SEAL-KIT-01,medium
